[DEBUG ] ollama                 | Checking Ollama at http://localhost:11434 ...
[DEBUG ] ollama                 | Ollama connected {"available_models": ["glm-4.7-flash:q4_K_M", "qwen3.6:35b", "phi4:14b", "deepseek-r1:32b", "nemotron3:33b", "glm-4.7-flash:latest", "gemma4:31b", "qwen3.6:27b"], "configured_model": "qwen3.6:27b", "model_available": true}
[DEBUG ] vision                 | Checking vision model availability: gemma4:31b
[DEBUG ] vision                 | Performing vision smoke test: gemma4:31b
[STATUS] preflight   | Checking the vision model with a smoke-test image.
[DEBUG ] vision_warning         | Vision smoke test failed (gemma4:31b): Smoke test failed: 
[DEBUG ] vision                 | Checking vision model availability: nemotron3:33b
[STATUS] preflight   | Trying fallback vision model `nemotron3:33b`.
          |- Configured vision model `qwen3.6:27b` did not pass preflight.
[DEBUG ] vision                 | Performing vision smoke test: nemotron3:33b
[STATUS] preflight   | Checking the vision model with a smoke-test image.
[DEBUG ] vision                 | Vision model is fully operational: nemotron3:33b
[STATUS] planning    | Gathered project context.
[STATUS] recalling   | Detecting real-world references that may need exact specs.
          |- This asks the main local LLM whether the request mentions a real product, part, or standard whose dimensions would improve the CAD plan. If none are found, the heavier multi-model recall step is skipp
[STATUS] recalling   | Found 1 reference subject(s) to cross-check.
[STATUS] recalling   | Cross-checking local LLMs: VESA mounting standard
          |- Queries up to 5 local Ollama models in priority order and stops as soon as two of them agree on enough fields. Each model is asked the same structured-JSON question; the consensus is what gets fed to 
[DEBUG ] recall_model_done      | built_in_reference: model_done {"model": "built_in_reference", "subject": "VESA mounting standard", "latency_s": 0.0, "field_count": 4, "error": null, "fields": {"hole_spacing_x_mm": {"value": [75, 100], "confidence": 0.98}, "hole_spacing_y_mm": {"value": [75, 100], "confidence": 0.98}, "hole_diameter_mm": {"value": 5.0, "confide
[STATUS] recalling   | Local recall model `built_in_reference` returned.
[STATUS] recalling   | VESA mounting standard: 4 fact(s) agreed by 1 model(s).
[STATUS] researching | Web search disabled — using local-LLM recall only.
          |- Web research is currently turned off. The agent relies on the local-LLM recall consensus above for any real-world facts the planner needs. To re-enable, set WEB_SEARCH_ENABLED=True in backend/agent/or
[STATUS] planning    | Strategy: build a new model from scratch.
[STATUS] planning    | Matched 2 CAD recipe pattern(s).
          |- Recipes are pre-authored product archetypes shipped with the agent (defined in backend/cad/recipes.py). The retriever scores them against the user prompt and feeds the matches into the planner so it k
[STATUS] planning    | Retrieved 5 local CAD example(s).
          |- Examples are real open-source CadQuery / build123d files cloned under data/cad_sources/. The retriever picks the ones whose path/title best matches the prompt so the planner has concrete code patterns
[STATUS] planning    | Developing the design plan…
[REASON:planning] Here's a thinking process that leads to the suggested design plan:
[REASON:planning] 
[REASON:planning] 1.  **Analyze the Request:**
[REASON:planning]         *   Let's use a simpler logic.
[REASON:planning]         *   VESA Plate: 120x120x5. Center (0, 0, 100).
[REASON:planning]         *   Tray: 300x200x5.
[REASON:planning]         *   We want the tray to be 30 degrees.
[REASON:planning]         *   Let's create a "Support Block" that holds the tray.
[REASON:planning]         *   Actually, let's model the Tray as a rotated box.
[REASON:planning]         *   Tray Center: (0, 100, 100).
[REASON:planning]         *   Rotation: -30 deg around X.
[REASON:planning]         *   This puts the back edge of the tray (local Y=-100) at global Y=0, Z=150.
[REASON:planning]         *   This puts the front edge (local Y=100) at global Y=200, Z=50.
[REASON:planning]         *   This seems high. Let's lower it.
[REASON:planning]         *   Tray Center: (0, 100, 60).
[REASON:planning]         *   Back edge Z: 60 + 100*sin(30) = 110.
[REASON:planning]         *   Front edge Z: 60 - 100*sin(30) = 10.
[REASON:planning]         *   This looks good. Front edge is 10mm off the ground.
[REASON:planning]         *   VESA Plate needs to connect to the back of the tray.
[REASON:planning]         *   Plate Center: (0, -10, 110). (Slightly behind tray, aligned with tray back height).
[REASON:planning]         *   Supports: Two vertical struts connecting Plate (Y=-10) to Tray (Y=0).
[REASON:planning]         *   Strut dimensions: Width 20, Height 100, Thickness 5.
[REASON:planning]         *   Strut Position: X = +/- 100. Y = -5. Z = 110 (top).
[REASON:planning]         *   Wait, the strut needs to connect to the *tilted* tray.
[REASON:planning]         *   If the strut is vertical, and the tray is tilted, the contact is a line/point.
[REASON:planning]         *   Better: The strut should be angled or the tray should have a lip.
[REASON:planning]         *   Let's make the strut angled to match the tray? Or just a vertical block that the tray rests on?
[REASON:planning]         *   If the tray rests on top of a vertical block, the contact is small.
[REASON:planning]         *   Let's make the strut a "gusset" shape or a block that is wider at the bottom.
[REASON:planning]         *   Or, simpler: The strut is a vertical block. The tray has a "back lip" or the strut is thick enough to overlap the tray thickness.
[REASON:planning]         *   Let's make the strut a vertical block: 20mm wide (X), 100mm high (Z), 10mm deep (Y).
[REASON:planning]         *   Position: X=+/- 100. Y=0 (center of strut). Z=110 (top of strut).
[REASON:planning]         *   Tray back edge is at Y=0.
[REASON:planning]         *   The strut is at Y=0. The tray is at Y=0. They overlap.
[REASON:planning]         *   This works. The strut supports the tray from underneath.
[REASON:planning] 
[REASON:planning] 4.  **Refining the Hex Holes:**
[REASON:planning]     *   Need to cut hexagons from the tray.
[REASON:planning]     *   Pattern: Grid.
[REASON:planning]     *   Size: 10mm across flats.
[REASON:planning]     *   Spacing: 20mm.
[REASON:planning]     *   Operation: Cut.
[REASON:planning] 
[REASON:planning] 5.  **Refining VESA Holes:**
[REASON:planning]     *   100x100 pattern.
[REASON:planning]     *   Hole diameter: 5.5mm (for M4 clearance).
[REASON:planning]     *   Operation: Cut.
[REASON:planning] 
[REASON:planning] 6.  **Reviewing Constraints & Printability:**
[REASON:planning]     *   *Overhangs:* The tray is tilted 30 degrees. This is < 45 degrees. No supports needed for the tray surface itself if printed flat?
[REASON:planning]     *   Wait. If the tray is tilted 30 degrees, the *bottom* of the tray is facing somewhat downwards.
[REASON:planning]     *   If we print the assembly as one piece:
[REASON:planning]         *   The VESA plate is vertical (XY plane).
[REASON:planning]         *   The Tray is tilted 30 deg.
[REASON:planning]         *   The supports are vertical.
[REASON:planning]         *   The bottom of the tray is an overhang of 30 degrees relative to the print bed?
[REASON:planning]         *   No. The tray is a solid block. The *top* surface is the one facing the user. The *bottom* surface faces the supports.
[REASON:planning]         *   If the tray is tilted 30 deg, the bottom surface is angled 30 deg from horizontal.
[REASON:planning]         *   This is printable without supports (30 < 45).
[REASON:planning]         *   However, the *front* edge of the tray is lower than the back.
[REASON:planning]         *   The supports are vertical.
[REASON:planning]         *   The angle between the tray bottom and the support top is 60 degrees (90 - 30).
[REASON:planning]         *   This is a sharp corner. It might need a fillet or just be printed as is.
[REASON:planning]         *   Actually, if the tray is 30 deg, the angle between the tray bottom and the vertical support is 60 deg.
[REASON:planning]         *   This is a "bridge" or overhang situation?
[REASON:planning]         *   No, the support is *under* the tray. The printer builds the support first, then the tray on top.
[REASON:planning]         *   The tray bottom is at 30 deg. The support top is at 90 deg.
[REASON:planning]         *   The transition is 60 deg. This is fine.
[REASON:planning]         *   Wait, is the tray bottom an overhang?
[REASON:planning]         *   The tray is a solid block. The bottom face is the "underside".
[REASON:planning]         *   If the tray is tilted, the underside is facing somewhat down.
[REASON:planning]         *   The angle of the underside relative to the vertical Z axis is 30 degrees.
[REASON:planning]         *   This means the underside is 60 degrees from the horizontal print bed.
[REASON:planning]         *   This is > 45 degrees.
[REASON:planning]         *   So the *underside* of the tray will have overhangs if printed as a single piece?
[REASON:planning]         *   No. The printer builds layer by layer.
[REASON:planning]         *   The tray is a solid volume. The "underside" is just the bottom of the volume.
[REASON:planning]         *   The printer doesn't care about the "underside" angle unless there is empty space below it.
[REASON:planning]         *   There is empty space below the tray (except for the supports).
[REASON:planning]         *   So yes, the bottom of the tray is an overhang.
[REASON:planning]         *   Angle: 30 degrees from horizontal.
[REASON:planning]         *   Wait. If the tray is tilted 30 degrees, the surface normal is 30 degrees from vertical.
[REASON:planning]         *   The angle from the horizontal plane is 30 degrees.
[REASON:planning]         *   This is < 45 degrees.
[REASON:planning]         *   So it is printable without supports.
[REASON:planning]         *   Correct. 30 degrees is safe.
[REASON:planning] 
[REASON:planning] 7.  **Finalizing Dimensions:**
[REASON:planning]     *   *VESA Plate:* 120x120x5. Center (0, -10, 100).
[REASON:planning]     *   *Tray:* 300x200x5. Center (0, 100, 60). Rotation -30 deg X.
[REASON:planning]     *   *Supports:* Two blocks. 20x10x100. Center (100, 0, 100) and (-100, 0, 100).
[REASON:planning]     *   *Hex Holes:* Pattern on tray.
[REASON:planning]     *   *VESA Holes:* Pattern on plate.
[REASON:planning] 
[REASON:planning] 8.  **Constructing the XML:**
[REASON:planning]     *   *Design Plan:*
[REASON:planning]         *   Summary: 30-degree tilted laptop tray with vertical VESA mount and hexagonal ventilation holes.
[REASON:planning]         *   Components:
[REASON:planning]             *   `vesa_plate`: Box.
[REASON:planning]             *   `laptop_tray`: Box, rotated.
[REASON:planning]             *   `support_left`: Box.
[REASON:planning]             *   `support_right`: Box.
[REASON:planning]             *   `hex_holes`: Custom/Polygon cutouts.
[REASON:planning]             *   `vesa_holes`: Cylinder cutouts.
[REASON:planning]     *   *Physical Use:*
[REASON:planning]         *   Orientation: VESA plate vertical, tray tilted.
[REASON:planning]         *   Forces: Laptop weight pushing down and forward.
[REASON:planning]         *   Containment: Gravity into the tray, back lip (implied by supports).
[REASON:planning]     *   *Feature Decisions:*
[REASON:planning]         *   Fasteners: Yes (VESA).
[REASON:planning]         *   Reinforcement: Yes (Supports).
[REASON:planning]         *   Cavities: No (Solid tray with holes).
[REASON:planning]         *   Moving parts: No.
[REASON:planning] 
[REASON:planning] 9.  **Refining Hex Holes Implementation:**
[REASON:planning]     *   CadQuery `polygon` or `pushPoints` with `hole`.
[REASON:planning]     *   Hexagon is a 6-sided polygon.
[REASON:planning]     *   Or use `cq.Workplane().polygon(6, radius).cutThruAll()`.
[REASON:planning]     *   Let's specify dimensions for the hex holes: 10mm radius (across corners) or 10mm across flats. Let's say 10mm across flats.
[REASON:planning]     *   Pattern: 5x3 grid.
[REASON:planning] 
[REASON:planning] 10. **Refining VESA Holes:**
[REASON:planning]     *   100x100 spacing.
[REASON:planning]     *   Hole diameter 5.5mm.
[REASON:planning]     *   Positions: (+/- 50, +/- 50) relative to plate center.
[REASON:planning] 
[REASON:planning] 11. **Check for "Prose-vs-Structure Parity":**
[REASON:planning]     *   Tray is tilted. Must have `<rotation>` tag.
[REASON:planning]     *   Tray description says "tilted". Tag must exist.
[REASON:planning] 
[REASON:planning] 12. **Final Polish:**
[REASON:planning]     *   Ensure all tags are present.
[REASON:planning]     *   Ensure dimensions are explicit.
[REASON:planning]     *   Ensure positions are consistent.
[REASON:planning]     *   Tray Center (0, 100, 60).
[REASON:planning]     *   Back edge of tray (local Y=-100) -> Global Y=0, Z=110.
[REASON:planning]     *   Support Top (0, 0, 100). Height 100 -> Top Z=150?
[REASON:planning]     *   Wait. Support Center Z=100. Height 100. Top Z=150.
[REASON:planning]     *   Tray Back Edge Z=110.
[REASON:planning]     *   Mismatch.
[REASON:planning]     *   Let's align them.
[REASON:planning]     *   Tray Back Edge Z must match Support Top Z.
[REASON:planning]     *   Tray Center Z = 60. Back Edge Z = 60 + 100*sin(30) = 110.
[REASON:planning]     *   Support Top Z must be 110.
[REASON:planning]     *   Support Height 100. Support Center Z = 110 - 50 = 60.
[REASON:planning]     *   So Support Center Z = 60.
[REASON:planning]     *   VESA Plate Center Z = 110 (aligned with tray back).
[REASON:planning]     *   VESA Plate Height 120. Top Z = 170. Bottom Z = 50.
[REASON:planning]     *   Support Top Z = 110. Support connects to Plate?
[REASON:planning]     *   Plate is at Y=-10. Support is at Y=0.
[REASON:planning]     *   Support needs to connect to Plate.
[REASON:planning]     *   Plate thickness 5. Plate Y range: -12.5 to -7.5.
[REASON:planning]     *   Support Y range: -5 to 5.
[REASON:planning]     *   They don't touch.
[REASON:planning]     *   Move Support to Y=-10.
[REASON:planning]     *   Support Center Y = -10.
[REASON:planning]     *   Tray Back Edge Y = 0.
[REASON:planning]     *   Support Top Y = -5.
[REASON:planning]     *   Tray Back Edge Y = 0.
[REASON:planning]     *   They overlap in Y? No. Support is at -10. Tray is at 0.
[REASON:planning]     *   Support needs to be under the tray.
[REASON:planning]     *   Tray extends from Y=0 to Y=200.
[REASON:planning]     *   Support should be at Y=0 (under the back edge).
[REASON:planning]     *   Plate should be at Y=-10 (behind the tray).
[REASON:planning]     *   Support needs to connect to Plate.
[REASON:planning]     *   Support Y range: -5 to 5.
[REASON:planning]     *   Plate Y range: -12.5 to -7.5.
[REASON:planning]     *   Gap between Support (-5) and Plate (-7.5).
[REASON:planning]     *   Move Support to Y=-6.25?
[REASON:planning]     *   Or make Support thicker (Y dimension).
[REASON:planning]     *   Let's make Support Y-dimension 15mm.
[REASON:planning]     *   Support Center Y = -7.5.
[REASON:planning]     *   Support Y range: -15 to 0.
[REASON:planning]     *   Plate Y range: -12.5 to -7.5.
[REASON:planning]     *   They overlap. Good.
[REASON:planning]     *   Tray Y range: 0 to 200.
[REASON:planning]     *   Support Y range: -15 to 0.
[REASON:planning]     *   They touch at Y=0. Good.
[REASON:planning] 
[REASON:planning]     *   Recalculate Z:
[REASON:planning]     *   Tray Center Z = 60.
[REASON:planning]     *   Tray Back Edge Z = 110.
[REASON:planning]     *   Support Top Z must be 110.
[REASON:planning]     *   Support Height 100.
[REASON:planning]     *   Support Center Z = 60.
[REASON:planning]     *   VESA Plate Center Z = 110.
[REASON:planning]     *   VESA Plate Bottom Z = 50.
[REASON:planning]     *   Support Bottom Z = 10.
[REASON:planning]     *   This works.
[REASON:planning] 
[REASON:planning]     *   Wait, VESA Plate Center Z=110. Plate Height 120.
[REASON:planning]     *   Plate Top Z = 170. Plate Bottom Z = 50.
[REASON:planning]     *   Support Top Z = 110.
[REASON:planning]     *   Support connects to Plate at Z=110.
[REASON:planning]     *   Plate is 120mm tall. 110 is within 50-170.
[REASON:planning]     *   Good.
[REASON:planning] 
[REASON:planning]     *   Final Check:
[REASON:planning]     *   Tray: 300x200x5. Center (0, 100, 60). Rot -30 X.
[REASON:planning]     *   Supports: 20x15x100. Center (+/- 100, -7.5, 60).
[REASON:planning]     *   Plate: 120x5x120. Center (0, -10, 110).
[REASON:planning]     *   Holes: Cut from Tray and Plate.
[REASON:planning] 
[REASON:planning]     *   One detail: The supports are vertical. The tray is tilted.
[REASON:planning]     *   The contact is at Y=0.
[REASON:planning]     *   The tray bottom is angled. The support top is flat.
[REASON:planning]     *   This creates a line contact.
[REASON:planning]     *   For 3D printing, this is fine.
[REASON:planning]     *   For structural integrity, it's okay for a laptop tray.
[REASON:planning] 
[REASON:planning]     *   Hex Holes:
[REASON:planning]     *   Need to be cut from the tray.
[REASON:planning]     *   Tray is rotated.
[REASON:planning]     *   Easiest way: Define holes in local coordinates of the tray, then rotate the holes with the tray?
[REASON:planning]     *   Or define holes in global coordinates?
[REASON:planning]     *   If I define a box for the tray, rotate it, then cut holes...
[REASON:planning]     *   The holes must be cut *after* rotation?
[REASON:planning]     *   Or define the holes as a separate component that is also rotated?
[REASON:planning]     *   Better: Define the tray as a solid. Define the holes as a solid (union of cylinders/polygons). Rotate the hole solid. Cut it from the tray.
[REASON:planning]     *   Or: Use `workplane` on the rotated face.
[REASON:planning]     *   For the plan, I will list `hex_holes` as a component with `operation=cut`.
[REASON:planning]     *   It needs the same rotation as the tray.
[REASON:planning]     *   Position: Same as tray center.
[REASON:planning] 
[REASON:planning]     *   VESA Holes:
[REASON:planning]     *   Cut from plate.
[REASON:planning]     *   Plate is not rotated.
[REASON:planning]     *   Holes are vertical cylinders.
[REASON:planning] 
[REASON:planning]     *   Let's go.
[REASON:planning] 
[REASON:planning]     *   One correction: VESA plate thickness.
[REASON:planning]     *   Plate dimensions: 120 (X) x 5 (Y) x 120 (Z).
[REASON:planning]     *   Wait, standard VESA plate is thin.
[REASON:planning]     *   My previous dims: 120x120x5.
[REASON:planning]     *   Orientation: Vertical.
[REASON:planning]     *   So X=120, Z=120, Y=5.
[REASON:planning]     *   Center (0, -10, 110).
[REASON:planning]     *   This works.
[REASON:planning] 
[REASON:planning]     *   Supports:
[REASON:planning]     *   X=20, Y=15, Z=100.
[REASON:planning]     *   Center (+/- 100, -7.5, 60).
[REASON:planning]     *   This works.
[REASON:planning] 
[REASON:planning]     *   Tray:
[REASON:planning]     *   X=300, Y=200, Z=5.
[REASON:planning]     *   Center (0, 100, 60).
[REASON:planning]     *   Rot -30 X.
[REASON:planning]     *   This works.
[REASON:planning] 
[REASON:planning]     *   Hex Holes:
[REASON:planning]     *   Pattern of hexagons.
[REASON:planning]     *   Radius 5mm (10mm across flats).
[REASON:planning]     *   Grid 5x3.
[REASON:planning]     *   Spacing 20mm.
[REASON:planning]     *   Center (0, 100, 60).
[REASON:planning]     *   Rot -30 X.
[REASON:planning]     *   Operation: Cut.
[REASON:planning] 
[REASON:planning]     *   VESA Holes:
[REASON:planning]     *   4 holes.
[REASON:planning]     *   Diameter 5.5mm.
[REASON:planning]     *   Positions relative to plate center: (+/- 50, +/- 50) in XZ plane.
[REASON:planning]     *   Plate center (0, -10, 110).
[REASON:planning]     *   Hole centers: (50, -10, 160), (-50, -10, 160), (50, -10, 60), (-50, -10, 60).
[REASON:planning]     *   Operation: Cut.
[REASON:planning] 
[REASON:planning]     *   Done.
[REASON:planning] 
[REASON:planning]     *   Wait, VESA holes are M4.
[REASON:planning]     *   Clearance hole 5.5mm is good.
[REASON:planning]     *   Threaded hole? No, PLA doesn't hold threads well. Clearance for screw is better.
[REASON:planning]     *   The prompt says "VESA mount plate". Usually implies holes for screws.
[REASON:planning]     *   Clearance holes are correct for FDM.
[REASON:planning] 
[REASON:planning]     *   Final check on "Prose-vs-Structure".
[REASON:planning]     *   Tray description: "tilted 30 degrees".
[REASON:planning]     *   Rotation tag: axis=X, angle=-30.
[REASON:planning]     *   Matches.
[REASON:planning] 
[REASON:planning]     *   Output XML.<design_plan>
[REASON:planning]   <summary>30-degree tilted laptop tray with vertical VESA 100x100 mount plate, vertical support struts, and hexagonal ventilation cutouts.</summary>
[REASON:planning]   <overall_dimensions_mm>
[REASON:planning]     <x>300</x><y>220</y><z>175</z>
[REASON:planning]   </overall_dimensions_mm>
[REASON:planning]   <components>
[REASON:planning]     <component>
[REASON:planning]       <name>vesa_mount_plate</name>
[REASON:planning]       <description>Vertical rectangular plate for VESA 100x100 mounting pattern. Positioned behind the tray.</description>
[REASON:planning]       <primitive>box</primitive>
[REASON:planning]       <dimensions>
[REASON:planning]         <length>120</length><width>5</width><height>120</height>
[REASON:planning]       </dimensions>
[REASON:planning]       <position><x>0</x><y>-10</y><z>110</z></position>
[REASON:planning]       <orientation>axis=Z</orientation>
[REASON:planning]       <operation>base</operation>
[REASON:planning]       <spec_source>inferred</spec_source>
[REASON:planning]     </component>
[REASON:planning]     <component>
[REASON:planning]       <name>laptop_tray</name>
[REASON:planning]       <description>Flat rectangular tray surface tilted 30 degrees backward to hold a laptop. Dimensions accommodate a standard 15-inch laptop.</description>
[REASON:planning]       <primitive>box</primitive>
[REASON:planning]       <dimensions>
[REASON:planning]         <length>300</length><width>200</width><height>5</height>
[REASON:planning]       </dimensions>
[REASON:planning]       <position><x>0</x><y>100</y><z>60</z></position>
[REASON:planning]       <orientation>axis=Z</orientation>
[REASON:planning]       <rotation axis="X" angle_deg="-30" intent="tilt tray back 30 degrees"/>
[REASON:planning]       <operation>union</operation>
[REASON:planning]       <spec_source>explicit</spec_source>
[REASON:planning]     </component>
[REASON:planning]     <component>
[REASON:planning]       <name>support_strut_left</name>
[REASON:planning]       <description>Vertical support block connecting the VESA plate to the left side of the tray back edge.</description>
[REASON:planning]       <primitive>box</primitive>
[REASON:planning]       <dimensions>
[REASON:planning]         <length>20</length><width>15</width><height>100</height>
[REASON:planning]       </dimensions>
[REASON:planning]       <position><x>-100</x><y>-7.5</y><z>60</z></position>
[REASON:planning]       <orientation>axis=Z</orientation>
[REASON:planning]       <operation>union</operation>
[REASON:planning]       <spec_source>inferred</spec_source>
[REASON:planning]     </component>
[REASON:planning]     <component>
[REASON:planning]       <name>support_strut_right</name>
[REASON:planning]       <description>Vertical support block connecting the VESA plate to the right side of the tray back edge.</description>
[REASON:planning]       <primitive>box</primitive>
[REASON:planning]       <dimensions>
[REASON:planning]         <length>20</length><width>15</width><height>100</height>
[REASON:planning]       </dimensions>
[REASON:planning]       <position><x>100</x><y>-7.5</y><z>60</z></position>
[REASON:planning]       <orientation>axis=Z</orientation>
[REASON:planning]       <operation>union</operation>
[REASON:planning]       <spec_source>inferred</spec_source>
[REASON:planning]     </component>
[REASON:planning]     <component>
[REASON:planning]       <name>hex_ventilation_holes</name>
[REASON:planning]       <description>Pattern of hexagonal cutouts in the center of the tray for airflow and material savings. 5x3 grid.</description>
[REASON:planning]       <primitive>custom</primitive>
[REASON:planning]       <dimensions>
[REASON:planning]         <length>10</length><width>10</width><height>6</height>
[REASON:planning]       </dimensions>
[REASON:planning]       <position><x>0</x><y>100</y><z>60</z></position>
[REASON:planning]       <orientation>axis=Z</orientation>
[REASON:planning]       <rotation axis="X" angle_deg="-30" intent="match tray tilt"/>
[REASON:planning]       <operation>cut</operation>
[REASON:planning]       <spec_source>explicit</spec_source>
[REASON:planning]     </component>
[REASON:planning]     <component>
[REASON:planning]       <name>vesa_clearance_holes</name>
[REASON:planning]       <description>Four clearance holes for M4 screws in a 100x100 mm VESA pattern.</description>
[REASON:planning]       <primitive>cylinder</primitive>
[REASON:planning]       <dimensions>
[REASON:planning]         <length>5.5</length><width>5.5</width><height>10</height>
[REASON:planning]       </dimensions>
[REASON:planning]       <position><x>0</x><y>-10</y><z>110</z></position>
[REASON:planning]       <orientation>axis=Z</orientation>
[REASON:planning]       <operation>cut</operation>
